number,musician,date
6,YoungBoy Never Broke Again,2022-08-11
7,Beyoncé,2022-08-11
8,Lil Baby,2022-08-11
9,Morgan Wallen,2022-08-11
10,Juice WRLD,2022-08-11
1,Bad Bunny,2022-08-18
2,Drake,2022-08-18
3,Taylor Swift,2022-08-18
4,Kanye West,2022-08-18
5,The Weeknd,2022-08-18
6,Morgan Wallen,2022-08-18
7,Juice WRLD,2022-08-18
8,Lil Baby,2022-08-18
9,$uicideboy$,2022-08-18
10,Kendrick Lamar,2022-08-18
1,Bad Bunny,2022-08-25
2,Drake,2022-08-25
3,Taylor Swift,2022-08-25
4,Kanye West,2022-08-25
5,The Weeknd,2022-08-25
6,Juice WRLD,2022-08-25
7,Lil Baby,2022-08-25
8,Morgan Wallen,2022-08-25
9,Kendrick Lamar,2022-08-25
10,$uicideboy$,2022-08-25
1,Bad Bunny,2022-09-01
2,Drake,2022-09-01
3,Taylor Swift,2022-09-01
4,Kanye West,2022-09-01
5,The Weeknd,2022-09-01
6,Lil Baby,2022-09-01
7,Juice WRLD,2022-09-01
8,Future,2022-09-01
9,DJ Khaled,2022-09-01
10,Morgan Wallen,2022-09-01
1,Bad Bunny,2022-09-08
2,Drake,2022-09-08
3,Taylor Swift,2022-09-08
4,Kanye West,2022-09-08
5,The Weeknd,2022-09-08
6,Lil Baby,2022-09-08
7,Juice WRLD,2022-09-08
8,Morgan Wallen,2022-09-08
9,Harry Styles,2022-09-08
10,Kendrick Lamar,2022-09-08
